Date,Product,Units_Sold,Revenue
2023-01-01,Product A,18,540
2023-01-01,Product B,15,525
2023-01-02,Product A,23,690
2023-01-02,Product B,22,770
2023-01-03,Product A,22,660
2023-01-03,Product B,19,665
2023-01-04,Product A,18,540
2023-01-04,Product B,17,595
2023-01-05,Product A,28,840
2023-01-05,Product B,16,560
2023-01-06,Product A,15,450
2023-01-06,Product B,17,595
2023-01-07,Product A,21,630
2023-01-07,Product B,22,770
2023-01-08,Product A,15,450
2023-01-08,Product B,21,735
2023-01-09,Product A,28,840
2023-01-09,Product B,22,770
2023-01-10,Product A,29,870
2023-01-10,Product B,23,805
2023-01-11,Product A,15,450
2023-01-11,Product B,20,700
2023-01-12,Product A,28,840
2023-01-12,Product B,25,875
2023-01-13,Product A,23,690
2023-01-13,Product B,19,665
2023-01-14,Product A,21,630
2023-01-14,Product B,25,875
2023-01-15,Product A,18,540
2023-01-15,Product B,17,595
2023-01-16,Product A,27,810
2023-01-16,Product B,18,630
2023-01-17,Product A,26,780
2023-01-17,Product B,26,910
2023-01-18,Product A,23,690
2023-01-18,Product B,16,560
2023-01-19,Product A,29,870
2023-01-19,Product B,18,630
2023-01-20,Product A,27,810
2023-01-20,Product B,17,595
2023-01-21,Product A,24,720
2023-01-21,Product B,26,910
2023-01-22,Product A,21,630
2023-01-22,Product B,17,595
2023-01-23,Product A,16,480
2023-01-23,Product B,22,770
2023-01-24,Product A,24,720
2023-01-24,Product B,17,595
2023-01-25,Product A,22,660
2023-01-25,Product B,18,630
2023-01-26,Product A,27,810
2023-01-26,Product B,23,805
2023-01-27,Product A,29,870
2023-01-27,Product B,26,910
2023-01-28,Product A,20,600
2023-01-28,Product B,26,910
2023-01-29,Product A,26,780
2023-01-29,Product B,21,735
2023-01-30,Product A,23,690
2023-01-30,Product B,17,595
2023-01-31,Product A,20,600
2023-01-31,Product B,22,770
2023-02-01,Product A,20,600
2023-02-01,Product B,29,1015
2023-02-02,Product A,27,810
2023-02-02,Product B,23,805
2023-02-03,Product A,22,660
2023-02-03,Product B,25,875
2023-02-04,Product A,16,480
2023-02-04,Product B,22,770
2023-02-05,Product A,16,480
2023-02-05,Product B,25,875
2023-02-06,Product A,27,810
2023-02-06,Product B,23,805
2023-02-07,Product A,17,510
2023-02-07,Product B,21,735
2023-02-08,Product A,25,750
2023-02-08,Product B,21,735
2023-02-09,Product A,30,900
2023-02-09,Product B,27,945
2023-02-10,Product A,29,870
2023-02-10,Product B,19,665
2023-02-11,Product A,23,690
2023-02-11,Product B,19,665
2023-02-12,Product A,22,660
2023-02-12,Product B,23,805
2023-02-13,Product A,28,840
2023-02-13,Product B,27,945
2023-02-14,Product A,26,780
2023-02-14,Product B,22,770
2023-02-15,Product A,19,570
2023-02-15,Product B,30,1050
2023-02-16,Product A,17,510
2023-02-16,Product B,16,560
2023-02-17,Product A,18,540
2023-02-17,Product B,19,665
2023-02-18,Product A,20,600
2023-02-18,Product B,28,980
2023-02-19,Product A,17,510
2023-02-19,Product B,27,945
2023-02-20,Product A,27,810
2023-02-20,Product B,29,1015
2023-02-21,Product A,23,690
2023-02-21,Product B,15,525
2023-02-22,Product A,18,540
2023-02-22,Product B,23,805
2023-02-23,Product A,25,750
2023-02-23,Product B,18,630
2023-02-24,Product A,24,720
2023-02-24,Product B,28,980
2023-02-25,Product A,20,600
2023-02-25,Product B,29,1015
2023-02-26,Product A,15,450
2023-02-26,Product B,23,805
2023-02-27,Product A,20,600
